ID,USER_ID,ORDER_DATE,STATUS,_ETL_LOADED_AT
1,1,2018-01-01,returned,2024-06-14T01:49:55.780Z
2,3,2018-01-02,completed,2024-06-14T01:49:55.780Z
3,94,2018-01-04,completed,2024-06-14T01:49:55.780Z
4,50,2018-01-05,completed,2024-06-14T01:49:55.780Z
5,64,2018-01-05,completed,2024-06-14T01:49:55.780Z
6,54,2018-01-07,completed,2024-06-14T01:49:55.780Z
7,88,2018-01-09,completed,2024-06-14T01:49:55.780Z
8,2,2018-01-11,returned,2024-06-14T01:49:55.780Z
9,53,2018-01-12,completed,2024-06-14T01:49:55.780Z
10,7,2018-01-14,completed,2024-06-14T01:49:55.780Z
11,99,2018-01-14,completed,2024-06-14T01:49:55.780Z
12,59,2018-01-15,completed,2024-06-14T01:49:55.780Z
13,84,2018-01-17,completed,2024-06-14T01:49:55.780Z
14,40,2018-01-17,returned,2024-06-14T01:49:55.780Z
15,25,2018-01-17,completed,2024-06-14T01:49:55.780Z
16,39,2018-01-18,completed,2024-06-14T01:49:55.780Z
17,71,2018-01-18,completed,2024-06-14T01:49:55.780Z
18,64,2018-01-20,returned,2024-06-14T01:49:55.780Z
19,54,2018-01-22,completed,2024-06-14T01:49:55.780Z
20,20,2018-01-23,completed,2024-06-14T01:49:55.780Z
21,71,2018-01-23,completed,2024-06-14T01:49:55.780Z
22,86,2018-01-24,completed,2024-06-14T01:49:55.780Z
23,22,2018-01-26,return_pending,2024-06-14T01:49:55.780Z
24,3,2018-01-27,completed,2024-06-14T01:49:55.780Z
25,51,2018-01-28,completed,2024-06-14T01:49:55.780Z
26,32,2018-01-28,completed,2024-06-14T01:49:55.780Z
27,94,2018-01-29,completed,2024-06-14T01:49:55.780Z
28,8,2018-01-29,completed,2024-06-14T01:49:55.780Z
29,57,2018-01-31,completed,2024-06-14T01:49:55.780Z
30,69,2018-02-02,completed,2024-06-14T01:49:55.780Z
31,16,2018-02-02,completed,2024-06-14T01:49:55.780Z
32,28,2018-02-04,completed,2024-06-14T01:49:55.780Z
33,42,2018-02-04,completed,2024-06-14T01:49:55.780Z
34,38,2018-02-06,completed,2024-06-14T01:49:55.780Z
35,80,2018-02-08,completed,2024-06-14T01:49:55.780Z
36,85,2018-02-10,completed,2024-06-14T01:49:55.780Z
37,1,2018-02-10,completed,2024-06-14T01:49:55.780Z
38,51,2018-02-10,completed,2024-06-14T01:49:55.780Z
39,26,2018-02-11,completed,2024-06-14T01:49:55.780Z
40,33,2018-02-13,completed,2024-06-14T01:49:55.780Z
41,99,2018-02-14,completed,2024-06-14T01:49:55.780Z
42,92,2018-02-16,completed,2024-06-14T01:49:55.780Z
43,31,2018-02-17,completed,2024-06-14T01:49:55.780Z
44,66,2018-02-17,completed,2024-06-14T01:49:55.780Z
45,22,2018-02-17,completed,2024-06-14T01:49:55.780Z
46,6,2018-02-19,completed,2024-06-14T01:49:55.780Z
47,50,2018-02-20,completed,2024-06-14T01:49:55.780Z
48,27,2018-02-21,completed,2024-06-14T01:49:55.780Z
49,35,2018-02-21,completed,2024-06-14T01:49:55.780Z
50,51,2018-02-23,completed,2024-06-14T01:49:55.780Z
51,71,2018-02-24,completed,2024-06-14T01:49:55.780Z
52,54,2018-02-25,return_pending,2024-06-14T01:49:55.780Z
53,34,2018-02-26,completed,2024-06-14T01:49:55.780Z
54,54,2018-02-26,completed,2024-06-14T01:49:55.780Z
55,18,2018-02-27,completed,2024-06-14T01:49:55.780Z
56,79,2018-02-28,completed,2024-06-14T01:49:55.780Z
57,93,2018-03-01,completed,2024-06-14T01:49:55.780Z
58,22,2018-03-01,completed,2024-06-14T01:49:55.780Z
59,30,2018-03-02,completed,2024-06-14T01:49:55.780Z
60,12,2018-03-03,completed,2024-06-14T01:49:55.780Z
61,63,2018-03-03,completed,2024-06-14T01:49:55.780Z
62,57,2018-03-05,completed,2024-06-14T01:49:55.780Z
63,70,2018-03-06,completed,2024-06-14T01:49:55.780Z
64,13,2018-03-07,completed,2024-06-14T01:49:55.780Z
65,26,2018-03-08,completed,2024-06-14T01:49:55.780Z
66,36,2018-03-10,completed,2024-06-14T01:49:55.780Z
67,79,2018-03-11,completed,2024-06-14T01:49:55.780Z
68,53,2018-03-11,completed,2024-06-14T01:49:55.780Z
69,3,2018-03-11,completed,2024-06-14T01:49:55.780Z
70,8,2018-03-12,completed,2024-06-14T01:49:55.780Z
71,42,2018-03-12,shipped,2024-06-14T01:49:55.780Z
72,30,2018-03-14,shipped,2024-06-14T01:49:55.780Z
73,19,2018-03-16,completed,2024-06-14T01:49:55.780Z
74,9,2018-03-17,shipped,2024-06-14T01:49:55.780Z
75,69,2018-03-18,completed,2024-06-14T01:49:55.780Z
76,25,2018-03-20,completed,2024-06-14T01:49:55.780Z
77,35,2018-03-21,shipped,2024-06-14T01:49:55.780Z
78,90,2018-03-23,shipped,2024-06-14T01:49:55.780Z
79,52,2018-03-23,shipped,2024-06-14T01:49:55.780Z
80,11,2018-03-23,shipped,2024-06-14T01:49:55.780Z
81,76,2018-03-23,shipped,2024-06-14T01:49:55.780Z
82,46,2018-03-24,shipped,2024-06-14T01:49:55.780Z
83,54,2018-03-24,shipped,2024-06-14T01:49:55.780Z
84,70,2018-03-26,placed,2024-06-14T01:49:55.780Z
85,47,2018-03-26,shipped,2024-06-14T01:49:55.780Z
86,68,2018-03-26,placed,2024-06-14T01:49:55.780Z
87,46,2018-03-27,placed,2024-06-14T01:49:55.780Z
88,91,2018-03-27,shipped,2024-06-14T01:49:55.780Z
89,21,2018-03-28,placed,2024-06-14T01:49:55.780Z
90,66,2018-03-30,shipped,2024-06-14T01:49:55.780Z
91,47,2018-03-31,placed,2024-06-14T01:49:55.780Z
92,84,2018-04-02,placed,2024-06-14T01:49:55.780Z
93,66,2018-04-03,placed,2024-06-14T01:49:55.780Z
94,63,2018-04-03,placed,2024-06-14T01:49:55.780Z
95,27,2018-04-04,placed,2024-06-14T01:49:55.780Z
96,90,2018-04-06,placed,2024-06-14T01:49:55.780Z
97,89,2018-04-07,placed,2024-06-14T01:49:55.780Z
98,41,2018-04-07,placed,2024-06-14T01:49:55.780Z
99,85,2018-04-09,placed,2024-06-14T01:49:55.780Z
